1 4	1 Abortus
4469 1	4597 "Uraemia utr. "
4470 1	4598 "Abscessus præabdominalis"
4471 1	4599 "Cancer hepatis et recti"
4472 1	4600 "Catarrhus intestinalis ventriculi "
4473 1	4601 "Cerebralia in febri rheumatica"
4474 1	4602 "Fractura costae cum emphysemate"
4475 1	4603 "Fractura maxillae inf."
4476 2	4604 "Gangraena region. ani post phlegmone haemorrhoidal."
4477 1	4605 "Kronisk brysttæring"
4478 1	4606 "Kronisk svækkelse"
4479 1	4607 "Kræft i næsen"
4480 2	4608 "Laryngitis infl. chronica in scrophulose"
4481 1	4609 "Mors subitanea in ebrietate"
4482 1	4610 "Myelitis in spondylitis tuberculosa"
4483 1	4611 "Pancreatitis fibrosa"
4484 1	4612 "Snævert bækken og rigiditet af collum"
4485 1	4613 "Thrombosis pulmonum"
4486 1	4614 "Vulnus penetr. genus"
4487 1	4615 "Abscesser på hoved og hals"
4488 1	4616 "Akut hjernetilfælde"
4489 1	4617 "Angioma tuber."
4490 1	4618 "Arthritis suppurativa"
4491 1	4619 "Atrophia luetica"
4492 2	4620 "Atrophia scrophulosa"
4493 1	4621 "Betændelse i hjerteposen og lungerne"
4494 1	4622 Bronchial-Croup
4495 1	4623 "Brud af ryghvirvlerne"
4496 1	4624 "Bryst- og lungehindekræft"
4497 1	4625 "Cancer orbitae dext."
4498 1	4626 "Cancer pulmonum et hepatis et gland. sup."
4499 1	4627 "Colica biliosa"
4500 1	4628 "Colitis ulcerosa"
4501 1	4629 "Dermatitis universalis"
4502 1	4630 "Eczema capitis"
4503 1	4631 "Febris gastro-typhoid."
4504 2	4632 "Fedtdegeneration af hjertet"
4505 0	4633 "Formentlig kronisk dyspepsi med akut mave- og tarmkatar"
4506 1	4634 "Formentlig pneumoni"
4507 1	4635 "Furunculosis malignus"
4508 2	4636 "Følger af nyresygdom"
4509 0	4637 "Gangraena nasi"
4510 1	4638 "Gastroectasis "
4511 1	4639 "Hernia incarcerata phlegmonosa"
4512 1	4640 "Hjerneapopleksi med nyt anfald"
4513 1	4641 "Hyperaemia pulmonum"
4514 1	4642 "Intestinal  "
4515 0	4643 "Katarrhalsk feber (Catarrhalsk feber)"
4516 1	4644 "Kighoste med konvulsioner"
4517 2	4645 "Knusning af baghovedet"
4518 1	4646 "Koldbrand i ansigtet efter mæslinger"
4519 1	4647 "Konvulsioner med bronchitis"
4520 1	4648 "Kræft i mave, lever og ??"
4521 1	4649 "Kræft i mundhulen"
4522 1	4650 "Ledbetændelse (Leddebetændelse)"
4523 2	4651 "Medfødt blindhed"
4524 1	4652 "Mors subitanea in influenza"
4525 1	4653 "Otitis acuta supp. sin."
4526 1	4654 Ovariekræft
4527 1	4655 "Pneumonia in tussi convulsiva"
4528 1	4656 "Pulmonia efter mæslinger"
4529 1	4657 "Sandsynligvis lungebetændelse efter brud af ribben"
4530 1	4658 "Sandsynligvis katarrhalsk pneumoni efter morbilli"
4531 1	4659 "Scarlatina typhosa"
4532 1	4660 "Scarlatinøs halssyge"
4533 0	4661 "Sequelae intoxicationis c. sal. ammoniae"
4534 1	4662 "Tabes nervosa"
4535 1	4663 "Total paralyse"
4536 1	4664 "Tuberculosis pulmonum et columnae"
4537 1	4665 "Ulcus rodens faciei"
4538 1	4666 "Vedvarende høj feber"
4539 1	4667 "Formentlig cancer ventriculi profus."
4540 1	4668 Ulcera
4541 1	4669 "Betændelse i åreknuder på benene"
4542 1	4670 "Kronisk og akut lungesygdom"
4543 1	4671 Maveatrofi
4544 1	4672 "Kræft i brystet og lungesækken"
4545 2	4673 "Osteomatosis (Osteomatose)"
4546 1	4674 "Tumor malignus abdominis"
4547 2	4675 "Sequelae gangraenae recti"
4548 1	4676 "Pneumonia chr. pulm. sin."
4549 1	4677 "Ileus in periton. perf. e ulcere ventriculi"
4550 1	4678 "Sequelae rheumatism."
4551 1	4679 "Cancer omentalis major"
4552 1	4680 "Endarteritis aortae"
4553 1	4681 "Embolia cerebri et hepatis"
4554 1	4682 "Sequelae vuln. digit. man."
4555 1	4683 "Benbrud med koldbrand"
4556 1	4684 "Incarceratio interna intestini tenuis"
4557 1	4685 "Døende ved lægens ankomst"
4558 1	4686 Cardiopathia
4559 1	4687 Gastro-enterostomi
4560 1	4688 "Anaemia gravis progressiva"
4561 1	4689 "Sarcoma extremitatis superior dext."
4562 1	4690 "Tumor cysticus hepatis et renum"
4563 0	4691 "Kræft i urinblæren"
4564 1	4692 "Cancer oesophagi (perforatio ad pulmones)"
4565 1	4693 "Bronchitis in delirio trem."
4566 1	4694 "Haematemesis sive haemoptysis"
4567 1	4695 "Sclerose af Aa. coronariae"
4568 1	4696 "Luxatio cubiti"
4569 0	4697 "Hjertesygdom med alm. vattersot"
4570 1	4698 "Phthisis intestini"
4571 1	4699 Utilregnelighed
4572 1	4700 "Formentlig intestinal katar"
4573 1	4701 "Vitium innatum"
4574 1	4702 est
4575 2	4703 test
4576 1	4704 "Ondartede mæslinger"
4577 1	4705 "Meningitis cerebrospinalis tuberculosa"
4578 1	4706 "Endocarditis in rheumatismus acut."
4579 1	4707 "Pneumonia sub tussi convulsiva"
4580 1	4708 "Morbus cerebelli (Mb. cerebelli)"
4581 1	4709 "Sarcoma reg. parotideae"
4582 1	4710 "Blodtab under fødslen"
4583 1	4711 "Emboli efter fødslen"
4584 1	4712 Lungesot
4585 1	4713 "Peritonitis e parametritis puerperalis"
4586 1	4714 "Indvendig brok"
4587 1	4715 "Morbus cordis organicus"
4588 1	4716 Bronchiedilatation
4589 1	4717 "Pericarditis et pleuritis in delirio tremente"
4590 1	4718 "Cancer oris et menti"
4591 2	4719 "Pneumonia crouposa lob. sup. sin."
4592 1	4720 "Cancer genitalium int."
4593 1	4721 "Arteriosclerosis luetica"
4594 1	4722 "Peritonitis post operationem ex perforatione jejuni"
4595 1	4723 "Rheumatismus acutus"
4596 1	4724 "Sarcomata variae (cerebri et pulmon.)"
4597 1	4725 "Formentlig paralysis cordis in phthisis"
4598 1	4726 "Tuberculosis pulmonum (in graviditate)"
4599 1	4727 Dødfunden
4600 1	4728 "Formentlig drab"
4601 1	4729 "Tumor chr. uteri"
4602 1	4730 "Haemoptysis in phthisis"
4603 1	4731 "Pyarthron coxae"
4604 1	4732 "Carbunculus labiorum"
4605 1	4733 "Cancer cardiae et peritonei miliaris"
4606 1	4734 "Agonia (Agoni)"
4607 1	4735 "Peritonitis suppurativa diffusa appendicularis"
4608 1	4736 "Osteophlegmone (Osteoflegmone)"
4609 1	4737 "Osteophlegmone diffusa acuta"
4610 1	4738 "Brud af flere led"
4611 1	4739 "Hæmatitis ulcerosa"
4612 1	4740 "Bronchopneumonia variae in influenza"
4613 1	4741 "Gangraena genitalium"
4614 1	4742 "Kroniske kramper"
4615 1	4743 Luftrørslidelse
4616 1	4744 "Kronisk bronkiektasi (Chr. Bronchiectasia)"
4617 1	4745 "Pneumonia in tuberculose"
4618 1	4746 "Haemorrhagia acuta"
4619 1	4747 "Ulceratio coeci"
4620 1	4748 "Cancer hepatis chr."
4621 1	4749 "Pneumonia lob. inf. senilis in influenza"
4622 2	4750 "Krampe i lungerne"
4623 1	4751 "Formentlig kronisk bronkitis"
4624 1	4752 "Cancer recti intest. operat."
4625 1	4753 "Kræft i benet"
4626 1	4754 "Peritonitis e perforatione coli cancrosi"
4627 2	4755 "Apoplexia pp."
4628 1	4756 "Hydronephrosis calculosa"
4629 1	4757 "Abscessus axillae"
4630 1	4758 "Corpus fibrosum uteri"
4631 1	4759 "Tuberculosis miliaris pulmon. et intestin."
4632 1	4760 "Pericarditis chron."
4633 1	4761 "Phthisis tuberculosa pulm. dext."
4634 1	4762 "Peritonitis e perforatione intestini"
4635 1	4763 "Underlivs- og hjernekræft"
4636 1	4764 "Delirium potatorum"
4637 1	4765 "Ruptura cordis?"
4638 1	4766 "Carcinoma pleurae"
4639 1	4767 "Peritonitis (sekundær)"
4640 1	4768 "Bronchiectasia pulm."
4641 1	4769 "Svagt udviklet"
4642 1	4770 "Pneumonia med konvulsioner"
4643 2	4771 "Mangelfuld udviklingsevne"
4644 1	4772 "Fractura cranii et femoris dext."
4645 1	4773 "Kirtler i underlivet"
4646 1	4774 "Osteitis humeri (Ostitis humeri)"
